33982.60,2021-01-05 14:53:44.944732
33906.20,2021-01-05 14:53:55.368007
33941.50,2021-01-05 14:54:00.616322
33909.50,2021-01-05 14:54:05.862294
33907.40,2021-01-05 14:54:11.249745
33902.50,2021-01-05 14:54:16.485435
33925.10,2021-01-05 14:54:21.707945
33895.70,2021-01-05 14:54:26.948233
33895.70,2021-01-05 14:54:32.204222
33895.70,2021-01-05 14:54:37.435103
33909.70,2021-01-05 14:54:42.681678
33909.30,2021-01-05 14:54:47.915590
33904.30,2021-01-05 14:54:53.716992
33940.30,2021-01-05 14:54:58.980702
33961.40,2021-01-05 14:55:04.227494
33907.20,2021-01-05 14:55:09.462503
33900.10,2021-01-05 14:55:14.706081
33873.60,2021-01-05 14:55:19.930526
33873.60,2021-01-05 14:55:25.275682
33868.00,2021-01-05 14:55:30.503059
33852.20,2021-01-05 14:55:35.731095
33825.00,2021-01-05 14:55:40.996180
33852.90,2021-01-05 14:55:46.230859
33831.20,2021-01-05 14:55:51.588324
33833.60,2021-01-05 14:55:56.847769
33833.80,2021-01-05 14:56:02.112794
33866.30,2021-01-05 14:56:07.364160
33868.20,2021-01-05 14:56:12.591459
33877.00,2021-01-05 14:56:17.832672
33880.30,2021-01-05 14:56:23.090265
33868.20,2021-01-05 14:56:28.361836
33868.20,2021-01-05 14:56:33.595935
33868.20,2021-01-05 14:56:38.874570
33870.60,2021-01-05 14:56:44.097258
33878.20,2021-01-05 14:56:49.323317
33871.70,2021-01-05 14:56:54.899334
33836.70,2021-01-05 14:57:00.208387
33822.90,2021-01-05 14:57:06.106687
33801.00,2021-01-05 14:57:11.346046
33803.80,2021-01-05 14:57:16.621291
33850.70,2021-01-05 14:57:21.857851
33819.30,2021-01-05 14:57:27.107439
33864.70,2021-01-05 14:57:32.341185
33870.00,2021-01-05 14:57:37.585836
33870.00,2021-01-05 14:57:42.831217
33921.00,2021-01-05 14:57:48.527649
33913.60,2021-01-05 14:57:54.227912
33869.90,2021-01-05 14:57:59.472055
33877.10,2021-01-05 14:58:04.747030
33853.40,2021-01-05 14:58:09.986338
33857.30,2021-01-05 14:58:15.238081
33852.50,2021-01-05 14:58:20.499266
33850.30,2021-01-05 14:58:25.777576
33880.30,2021-01-05 14:58:31.053483
33871.50,2021-01-05 14:58:36.332092
33856.70,2021-01-05 14:58:41.706726
33838.90,2021-01-05 14:58:46.941548
33847.30,2021-01-05 14:58:52.372242
33847.70,2021-01-05 14:58:57.598069
33855.50,2021-01-05 14:59:03.179357
33837.10,2021-01-05 14:59:08.422512
33827.00,2021-01-05 14:59:13.672077
33826.50,2021-01-05 14:59:18.950309
33762.60,2021-01-05 14:59:24.226113
33819.90,2021-01-05 14:59:29.450681
33817.40,2021-01-05 14:59:34.670511
33821.50,2021-01-05 14:59:39.913563
33815.00,2021-01-05 14:59:45.194382
33839.10,2021-01-05 14:59:50.424719
33853.90,2021-01-05 14:59:55.643972
33817.00,2021-01-05 15:00:00.889338
33800.10,2021-01-05 15:00:06.127947
33794.30,2021-01-05 15:00:11.383050
33800.00,2021-01-05 15:00:16.616850
33751.60,2021-01-05 15:00:21.866630
33689.10,2021-01-05 15:00:27.106325
33754.50,2021-01-05 15:00:32.537552
33688.90,2021-01-05 15:00:37.799670
33743.40,2021-01-05 15:00:43.074223
33733.70,2021-01-05 15:00:48.303026
33732.30,2021-01-05 15:00:53.888129
33714.90,2021-01-05 15:00:59.111730
33708.60,2021-01-05 15:01:04.339482
33651.00,2021-01-05 15:01:09.596449
33611.00,2021-01-05 15:01:14.821116
33595.80,2021-01-05 15:01:20.080408
33592.40,2021-01-05 15:01:25.331758
33578.90,2021-01-05 15:01:30.693669
33556.50,2021-01-05 15:01:35.962506
33569.20,2021-01-05 15:01:41.303936
33558.20,2021-01-05 15:01:46.561962
33532.90,2021-01-05 15:01:52.002787
33527.10,2021-01-05 15:01:57.216509
33497.00,2021-01-05 15:02:02.468337
33469.40,2021-01-05 15:02:07.704334
33508.20,2021-01-05 15:02:12.933510
33534.40,2021-01-05 15:02:18.161803
33533.10,2021-01-05 15:02:23.395220
33565.80,2021-01-05 15:02:28.626348
33600.00,2021-01-05 15:02:33.851482
33633.20,2021-01-05 15:02:39.070848
33669.90,2021-01-05 15:02:44.321818
33665.10,2021-01-05 15:02:49.550898
33673.90,2021-01-05 15:02:55.082479
33701.00,2021-01-05 15:03:00.310743
33674.30,2021-01-05 15:03:05.556399
33695.90,2021-01-05 15:03:10.822271
33694.70,2021-01-05 15:03:15.670190
33654.80,2021-01-05 15:03:20.893056
33662.50,2021-01-05 15:03:26.148803
33662.50,2021-01-05 15:03:31.371559
33691.30,2021-01-05 15:03:36.669553
33704.20,2021-01-05 15:03:41.889958
33704.20,2021-01-05 15:03:47.115568
33704.20,2021-01-05 15:03:57.535465
33704.20,2021-01-05 15:04:02.825010
33704.20,2021-01-05 15:04:08.046432
33685.40,2021-01-05 15:04:13.295406
33649.80,2021-01-05 15:04:18.562371
33649.80,2021-01-05 15:04:23.895438
33637.50,2021-01-05 15:04:29.127067
33656.00,2021-01-05 15:04:34.360161
33679.00,2021-01-05 15:04:39.607174
33672.20,2021-01-05 15:04:44.839369
33672.20,2021-01-05 15:04:50.072068
33697.40,2021-01-05 15:04:55.388600
33666.60,2021-01-05 15:05:00.646854
33689.90,2021-01-05 15:05:05.887555
33644.60,2021-01-05 15:05:11.126399
33604.90,2021-01-05 15:05:16.367416
33587.70,2021-01-05 15:05:21.671854
33603.20,2021-01-05 15:05:26.917058
33601.80,2021-01-05 15:05:32.191871
33613.40,2021-01-05 15:05:38.706430
33615.10,2021-01-05 15:05:44.044215
33600.50,2021-01-05 15:05:49.281991
33600.60,2021-01-05 15:05:54.914365
33608.50,2021-01-05 15:06:27.645840
33580.10,2021-01-05 15:06:32.875196
33568.00,2021-01-05 15:06:38.122516
33537.10,2021-01-05 15:06:43.400405
33535.10,2021-01-05 15:06:48.667358
33535.10,2021-01-05 15:06:54.244431
33561.30,2021-01-05 15:06:59.474642
33561.20,2021-01-05 15:07:04.734816
